epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,10720.5,0.93111,3.54994,0.28331,0.66675,1.31012,0.97034,0.96721,0.9898,0.83087,0.83929,0.78998,0.78765,0.60409,0.71242,2.25757,0.06216,0.362,1.08355,0.008284,0.008284,0.008284
28,11088.4,0.92635,3.51707,0.28061,0.65634,1.31178,0.96985,0.97158,0.98948,0.83064,0.85158,0.79929,0.80702,0.62613,0.71441,2.18898,0.0611,0.36065,1.08446,0.008218,0.008218,0.008218
29,11455.8,0.9297,3.49304,0.27824,0.66355,1.31221,0.97125,0.96878,0.98978,0.8391,0.85609,0.79444,0.80363,0.62594,0.68964,2.17708,0.05897,0.3536,1.06956,0.008152,0.008152,0.008152
30,11823.3,0.92513,3.47999,0.27709,0.66078,1.3129,0.96844,0.97018,0.98968,0.84694,0.85403,0.7896,0.80944,0.63793,0.68686,2.19128,0.0594,0.35221,1.06849,0.008086,0.008086,0.008086
31,12190.9,0.91939,3.44805,0.27408,0.64815,1.30244,0.97089,0.96789,0.99001,0.8359,0.85599,0.80553,0.8094,0.63021,0.69683,2.13329,0.05843,0.3515,1.07352,0.00802,0.00802,0.00802
32,12557.4,0.91269,3.39955,0.27182,0.64731,1.30084,0.96937,0.97213,0.99003,0.84021,0.86433,0.8091,0.81309,0.63304,0.68066,2.09309,0.05861,0.34483,1.06513,0.007954,0.007954,0.007954
33,12923.9,0.91491,3.41443,0.27148,0.64695,1.30249,0.96822,0.9712,0.98998,0.85371,0.85757,0.80668,0.83201,0.66629,0.67373,2.09477,0.05881,0.34033,1.06166,0.007888,0.007888,0.007888
34,13291.5,0.90582,3.34385,0.26841,0.63479,1.29601,0.96681,0.97439,0.99004,0.84913,0.85422,0.80489,0.81234,0.64631,0.66467,2.09486,0.05697,0.3375,1.05748,0.007822,0.007822,0.007822
35,13658.6,0.90956,3.41021,0.26713,0.6408,1.29667,0.96999,0.97145,0.99016,0.85879,0.85491,0.80047,0.82242,0.66124,0.6575,2.11266,0.05524,0.33436,1.0511,0.007756,0.007756,0.007756
36,14025.4,0.90516,3.33146,0.26394,0.63415,1.29551,0.97037,0.97388,0.99023,0.86036,0.85284,0.8133,0.83343,0.67097,0.66045,2.08384,0.05645,0.33266,1.05025,0.00769,0.00769,0.00769
37,14391.9,0.90333,3.33613,0.26539,0.63296,1.29562,0.96885,0.974,0.99033,0.86123,0.85893,0.81242,0.83626,0.67561,0.66028,2.0539,0.05511,0.33003,1.05079,0.007624,0.007624,0.007624
38,14758.3,0.8994,3.31946,0.26408,0.62736,1.29042,0.97031,0.97054,0.99027,0.86379,0.85311,0.81789,0.84255,0.68135,0.65926,2.04044,0.05516,0.33044,1.04677,0.007558,0.007558,0.007558
39,15125.3,0.89453,3.26316,0.26029,0.63175,1.29399,0.96848,0.97286,0.99022,0.86219,0.85898,0.81509,0.83701,0.67998,0.65886,2.05201,0.05318,0.33096,1.04822,0.007492,0.007492,0.007492
40,15491.5,0.89668,3.26705,0.25851,0.62751,1.28875,0.96793,0.97318,0.99029,0.86303,0.8625,0.80979,0.83662,0.68231,0.65436,2.03919,0.0519,0.3283,1.04471,0.007426,0.007426,0.007426
41,15857.6,0.9016,3.28016,0.25857,0.62178,1.29099,0.96635,0.97341,0.99006,0.86472,0.86074,0.81763,0.84627,0.68913,0.65509,2.00868,0.05165,0.32579,1.04344,0.00736,0.00736,0.00736
42,16229.6,0.88949,3.24977,0.25612,0.62282,1.28433,0.96945,0.97273,0.99031,0.86432,0.86446,0.81602,0.84637,0.68983,0.65681,2.0089,0.05042,0.32713,1.04329,0.007294,0.007294,0.007294
43,16596.7,0.89002,3.24372,0.25596,0.62036,1.28556,0.9705,0.97286,0.99026,0.8617,0.86359,0.81751,0.84579,0.68895,0.65947,1.99703,0.04989,0.32737,1.0446,0.007228,0.007228,0.007228
44,16963.8,0.89171,3.19164,0.25513,0.62189,1.28532,0.97197,0.97209,0.99055,0.86626,0.8643,0.81917,0.84673,0.69317,0.64717,1.991,0.0501,0.32383,1.04054,0.007162,0.007162,0.007162
45,17330.5,0.88519,3.1981,0.25356,0.61672,1.28102,0.97386,0.97337,0.99065,0.86641,0.86238,0.82019,0.84779,0.6951,0.64852,1.98436,0.04971,0.32321,1.04153,0.007096,0.007096,0.007096
46,18018.4,0.88207,3.17625,0.25287,0.61366,1.27777,0.97275,0.97515,0.99053,0.86581,0.8606,0.81589,0.84437,0.69592,0.65058,2.00093,0.05006,0.32294,1.04349,0.00703,0.00703,0.00703
47,18748,0.88294,3.15099,0.25045,0.61107,1.28082,0.97347,0.97324,0.99073,0.86227,0.85903,0.81471,0.84173,0.69369,0.65436,2.0047,0.04999,0.32301,1.04493,0.006964,0.006964,0.006964
48,19293.8,0.87908,3.14565,0.25032,0.6128,1.27666,0.97188,0.97322,0.99071,0.86244,0.86002,0.81268,0.83858,0.69341,0.65231,2.00466,0.04939,0.32299,1.04274,0.006898,0.006898,0.006898
49,19811.3,0.87631,3.13893,0.24754,0.60522,1.2751,0.97096,0.974,0.99071,0.8623,0.8603,0.81241,0.83913,0.6943,0.65287,1.99455,0.04925,0.32295,1.0427,0.006832,0.006832,0.006832
50,20184,0.87786,3.10426,0.24639,0.60471,1.27418,0.97102,0.97367,0.99057,0.86472,0.8626,0.81447,0.84449,0.69739,0.64892,1.97745,0.04913,0.32096,1.04066,0.006766,0.006766,0.006766
51,20550.5,0.87496,3.12082,0.24665,0.59982,1.27276,0.96933,0.97457,0.99061,0.86669,0.86771,0.81955,0.84938,0.70063,0.64487,1.95546,0.0486,0.31922,1.03852,0.0067,0.0067,0.0067
52,20895.1,0.87347,3.10021,0.24537,0.60136,1.27244,0.97104,0.974,0.99075,0.86772,0.86721,0.81955,0.85009,0.70304,0.6439,1.94491,0.04819,0.31859,1.03815,0.006634,0.006634,0.006634
53,21240.4,0.86883,3.09382,0.24427,0.5977,1.26853,0.97114,0.97351,0.99073,0.86833,0.8683,0.82088,0.8508,0.70533,0.64293,1.93702,0.04814,0.31763,1.03753,0.006568,0.006568,0.006568
54,21587.1,0.86736,3.06355,0.24389,0.59813,1.26567,0.97237,0.97315,0.99077,0.86868,0.86633,0.82431,0.85199,0.70701,0.64077,1.92837,0.04781,0.31697,1.03662,0.006502,0.006502,0.006502
55,21939,0.8667,3.05328,0.24492,0.59655,1.26786,0.97207,0.97362,0.99075,0.86871,0.86492,0.82496,0.85168,0.70731,0.63919,1.92654,0.04735,0.31589,1.0357,0.006436,0.006436,0.006436
56,22345.1,0.87015,3.04131,0.24222,0.59929,1.27049,0.97255,0.9726,0.99077,0.86903,0.86535,0.8263,0.85224,0.70774,0.64004,1.92114,0.04687,0.31595,1.03613,0.00637,0.00637,0.00637
57,22700.9,0.86318,3.02934,0.24083,0.59391,1.26538,0.97308,0.97209,0.99077,0.8689,0.86291,0.82541,0.8518,0.70713,0.6416,1.92335,0.04658,0.31622,1.03685,0.006304,0.006304,0.006304
58,23048.1,0.86173,3.06202,0.24243,0.5967,1.26673,0.97345,0.97235,0.99077,0.86854,0.8647,0.82502,0.85229,0.70748,0.6428,1.92201,0.0463,0.31599,1.037,0.006238,0.006238,0.006238
59,23396.2,0.85813,3.02163,0.24026,0.59539,1.26256,0.9736,0.9728,0.99079,0.86897,0.86459,0.82465,0.85207,0.70799,0.64265,1.92572,0.04632,0.31539,1.03649,0.006172,0.006172,0.006172
60,23747.7,0.85518,2.99668,0.23949,0.58841,1.25793,0.97386,0.97311,0.9909,0.87,0.86776,0.82465,0.85278,0.70927,0.64133,1.91951,0.04614,0.31459,1.0353,0.006106,0.006106,0.006106
61,24103.8,0.85989,3.0081,0.23972,0.59191,1.26442,0.97264,0.974,0.99091,0.8705,0.86829,0.82415,0.85289,0.71014,0.63989,1.91505,0.04602,0.31374,1.03438,0.00604,0.00604,0.00604
62,24450.3,0.8535,2.9815,0.23829,0.58548,1.25952,0.97286,0.97289,0.99087,0.87118,0.86821,0.82357,0.85347,0.71047,0.63763,1.90689,0.04594,0.31263,1.03275,0.005974,0.005974,0.005974
63,24806.6,0.84899,2.92822,0.23671,0.58118,1.25753,0.97313,0.97311,0.99089,0.87167,0.86823,0.82372,0.85478,0.71192,0.63576,1.90212,0.04581,0.3118,1.0315,0.005908,0.005908,0.005908
64,25162,0.85634,2.98072,0.23758,0.58399,1.25895,0.97329,0.97388,0.99092,0.87256,0.86629,0.82503,0.85488,0.71307,0.63328,1.89978,0.04577,0.31086,1.02987,0.005842,0.005842,0.005842
65,25520.5,0.84696,2.95464,0.23492,0.58368,1.25461,0.97274,0.97451,0.99092,0.87402,0.86684,0.82544,0.85699,0.71416,0.63104,1.895,0.04564,0.30981,1.02863,0.005776,0.005776,0.005776
66,25872.4,0.84754,2.93633,0.23482,0.57923,1.25614,0.97321,0.97451,0.99095,0.87428,0.8669,0.82516,0.85707,0.71442,0.62963,1.89027,0.04544,0.30926,1.02802,0.00571,0.00571,0.00571
67,26215.5,0.84851,2.92975,0.23462,0.57818,1.25543,0.9729,0.97451,0.99096,0.87529,0.86705,0.82608,0.85719,0.71507,0.62836,1.88474,0.04533,0.30849,1.02721,0.005644,0.005644,0.005644
68,26622.7,0.84189,2.89699,0.23405,0.5785,1.25073,0.97279,0.97492,0.99099,0.87543,0.86794,0.82586,0.85782,0.71593,0.62767,1.87981,0.04515,0.30825,1.02683,0.005578,0.005578,0.005578
69,27070.8,0.84541,2.90729,0.23191,0.57844,1.25278,0.97393,0.97413,0.99101,0.87602,0.86856,0.8263,0.85887,0.71688,0.62703,1.87563,0.045,0.30799,1.02664,0.005512,0.005512,0.005512
70,27443.1,0.84109,2.87791,0.23126,0.57523,1.25136,0.97425,0.97388,0.99102,0.87624,0.86814,0.82656,0.85921,0.71841,0.62621,1.87467,0.04488,0.30737,1.02609,0.005446,0.005446,0.005446
71,27815.7,0.84241,2.88102,0.23166,0.57743,1.25074,0.97401,0.97416,0.991,0.87628,0.86824,0.82592,0.85868,0.71866,0.62562,1.87185,0.04464,0.30698,1.02556,0.00538,0.00538,0.00538
72,28187.4,0.84052,2.8863,0.23123,0.57503,1.2509,0.97334,0.97439,0.99098,0.87645,0.86827,0.82618,0.85882,0.71926,0.62517,1.8717,0.04448,0.30642,1.02507,0.005314,0.005314,0.005314
73,28559.4,0.84445,2.86739,0.22968,0.57424,1.25483,0.97328,0.97464,0.991,0.87686,0.86807,0.82643,0.85945,0.71939,0.62437,1.86951,0.04424,0.30589,1.02439,0.005248,0.005248,0.005248
74,28937.1,0.83758,2.87987,0.22963,0.57243,1.24911,0.97302,0.9745,0.99102,0.87687,0.86829,0.8272,0.85986,0.72006,0.6234,1.86523,0.0441,0.30545,1.02405,0.005182,0.005182,0.005182
75,29311.3,0.83968,2.86236,0.22827,0.57646,1.24924,0.97316,0.97451,0.99102,0.87757,0.86992,0.82751,0.86055,0.72044,0.62253,1.86119,0.04391,0.30475,1.02345,0.005116,0.005116,0.005116
76,29681.7,0.83082,2.8052,0.22648,0.56323,1.23963,0.9734,0.97476,0.99104,0.87816,0.86998,0.82834,0.86087,0.72074,0.62105,1.85935,0.04381,0.30437,1.02259,0.00505,0.00505,0.00505
77,30055.5,0.8312,2.82695,0.22721,0.56446,1.24407,0.97304,0.97524,0.99106,0.87864,0.86918,0.82758,0.86022,0.7209,0.62002,1.8568,0.04366,0.30398,1.02178,0.004984,0.004984,0.004984
