time,frame,hand_px_x,hand_px_y,tip_x_m,tip_y_m,tip_z_m,distance_m,contact
1761308483.9016407,1,nan,0
1761308484.0639257,2,nan,0
1761308484.415633,3,nan,0
1761308484.592614,4,nan,0
1761308484.7688327,5,nan,0
1761308484.9428961,6,nan,0
1761308485.1098847,7,nan,0
1761308485.287775,8,nan,0
1761308485.4825487,9,nan,0
1761308485.6773,10,nan,0
1761308485.992952,11,nan,0
1761308486.1991463,12,nan,0
1761308486.3799527,13,nan,0
1761308486.541533,14,nan,0
1761308486.6892533,15,nan,0
1761308486.8486333,16,nan,0
1761308487.0315971,17,nan,0
1761308487.1932173,18,nan,0
1761308487.34979,19,nan,0
1761308488.076206,20,nan,0
1761308488.255257,21,nan,0
1761308488.4579005,22,nan,0
1761308488.627234,23,nan,0
1761308488.7802372,24,nan,0
1761308488.91917,25,nan,0
1761308489.6276186,26,nan,0
1761308489.765635,27,nan,0
1761308489.9106393,28,nan,0
1761308490.0470278,29,nan,0
1761308490.1885164,30,nan,0
1761308490.3298187,31,nan,0
1761308490.4713893,32,nan,0
1761308490.6072943,33,nan,0
1761308490.7468019,34,nan,0
1761308490.88877,35,nan,0
1761308491.0310602,36,nan,0
1761308491.1714728,37,nan,0
1761308491.3145952,38,nan,0
1761308491.4807007,39,nan,0
1761308491.6427975,40,nan,0
1761308491.8030772,41,nan,0
1761308491.9487913,42,nan,0
1761308492.1032155,43,nan,0
1761308492.2450874,44,nan,0
1761308492.398777,45,nan,0
1761308492.5553274,46,nan,0
1761308492.711354,47,nan,0
1761308492.8509927,48,nan,0
1761308492.9919462,49,nan,0
1761308493.1319861,50,nan,0
1761308493.2774715,51,nan,0
1761308493.437376,52,nan,0
1761308493.6365182,53,nan,0
1761308493.8005087,54,nan,0
1761308493.947762,55,nan,0
1761308494.1005318,56,nan,0
1761308494.2565548,57,nan,0
1761308494.4053218,58,nan,0
1761308494.5451617,59,nan,0
1761308494.6909428,60,nan,0
1761308494.839559,61,nan,0
1761308494.9794533,62,nan,0
1761308495.1197617,63,nan,0
1761308495.2625418,64,nan,0
1761308495.4025846,65,nan,0
1761308495.5427516,66,nan,0
1761308495.6938953,67,nan,0
1761308495.834002,68,nan,0
1761308495.9898257,69,nan,0
1761308496.1410003,70,nan,0
1761308496.291464,71,nan,0
1761308496.4417715,72,nan,0
1761308496.6015446,73,nan,0
1761308496.7655716,74,nan,0
1761308496.9077973,75,nan,0
1761308497.1308365,76,1.1362438767648086e-16,1
1761308497.2847946,77,nan,0
1761308497.431504,78,nan,0
1761308497.5660846,79,nan,0
1761308497.6896667,80,nan,0
1761308497.8123686,81,nan,0
1761308497.9366,82,nan,0
1761308498.0686889,83,6.071532165918825e-18,1
1761308498.2035384,84,2.7755575615628914e-17,1
1761308498.3455026,85,nan,0
1761308498.4852405,86,2.7755575615628914e-17,1
1761308498.6065087,87,nan,0
1761308498.7423637,88,8.326672684688674e-17,1
1761308498.8777647,89,9.71445146547012e-17,1
1761308499.0183191,90,nan,0
1761308499.1590075,91,nan,0
1761308499.295517,92,nan,0
1761308499.422715,93,nan,0
1761308499.558799,94,6.071532165918825e-18,1
1761308499.6802711,95,6.938893903907228e-17,1
1761308499.80405,96,6.938893903907228e-17,1
1761308499.9349403,97,8.326672684688674e-17,1
1761308500.0573745,98,8.326672684688674e-17,1
