time,frame,tip_cam_x,tip_cam_y,tip_cam_z,contact
1760316883.5422897,1,nan,nan,nan,0
1760316883.8205624,2,nan,nan,nan,0
1760316884.0888772,3,nan,nan,nan,0
1760316884.1957798,4,nan,nan,nan,0
1760316884.303816,5,nan,nan,nan,0
1760316884.4155598,6,nan,nan,nan,0
1760316884.5155914,7,nan,nan,nan,0
1760316884.6217203,8,nan,nan,nan,0
1760316884.727168,9,nan,nan,nan,0
1760316884.8341684,10,nan,nan,nan,0
1760316884.9442127,11,nan,nan,nan,0
1760316885.0535197,12,nan,nan,nan,0
1760316885.1619403,13,nan,nan,nan,0
1760316885.271393,14,nan,nan,nan,0
1760316885.380039,15,nan,nan,nan,0
1760316885.4897668,16,nan,nan,nan,0
1760316885.6000915,17,nan,nan,nan,0
1760316885.720607,18,nan,nan,nan,0
1760316885.8364408,19,nan,nan,nan,0
1760316885.951691,20,nan,nan,nan,0
1760316886.0606954,21,nan,nan,nan,0
1760316886.1670268,22,nan,nan,nan,0
1760316886.273286,23,nan,nan,nan,0
1760316886.3757944,24,nan,nan,nan,0
1760316886.4797919,25,nan,nan,nan,0
1760316886.5842404,26,nan,nan,nan,0
1760316886.6892374,27,nan,nan,nan,0
1760316886.7979996,28,nan,nan,nan,0
1760316886.916736,29,nan,nan,nan,0
1760316887.0190914,30,nan,nan,nan,0
1760316887.135792,31,nan,nan,nan,0
1760316887.2543945,32,nan,nan,nan,0
1760316887.3665998,33,nan,nan,nan,0
1760316887.4789603,34,nan,nan,nan,0
1760316887.5842905,35,nan,nan,nan,0
1760316887.6892946,36,nan,nan,nan,0
1760316887.7956505,37,nan,nan,nan,0
1760316887.9003692,38,nan,nan,nan,0
1760316888.0044475,39,nan,nan,nan,0
1760316888.0986824,40,nan,nan,nan,0
1760316888.1941683,41,nan,nan,nan,0
1760316888.2910604,42,nan,nan,nan,0
1760316888.3878465,43,nan,nan,nan,0
1760316888.483053,44,nan,nan,nan,0
1760316888.582147,45,nan,nan,nan,0
1760316888.6815922,46,nan,nan,nan,0
1760316888.7804923,47,nan,nan,nan,0
1760316888.8790593,48,nan,nan,nan,0
1760316888.977943,49,nan,nan,nan,0
1760316889.0891702,50,nan,nan,nan,0
1760316889.1879728,51,nan,nan,nan,0
1760316889.286926,52,nan,nan,nan,0
1760316889.3846204,53,nan,nan,nan,0
1760316889.482497,54,nan,nan,nan,0
1760316889.582166,55,nan,nan,nan,0
1760316889.6828506,56,nan,nan,nan,0
1760316889.7829738,57,nan,nan,nan,0
1760316889.8831577,58,nan,nan,nan,0
1760316889.9829051,59,nan,nan,nan,0
1760316890.0872858,60,nan,nan,nan,0
1760316890.186833,61,nan,nan,nan,0
1760316890.2879493,62,nan,nan,nan,0
1760316890.388064,63,nan,nan,nan,0
1760316890.4895132,64,nan,nan,nan,0
1760316890.5936723,65,nan,nan,nan,0
1760316890.6977787,66,nan,nan,nan,0
1760316890.8005378,67,nan,nan,nan,0
1760316890.90061,68,nan,nan,nan,0
1760316891.0025318,69,nan,nan,nan,0
1760316891.1051648,70,nan,nan,nan,0
1760316891.210096,71,nan,nan,nan,0
1760316891.3123548,72,nan,nan,nan,0
1760316891.4166892,73,nan,nan,nan,0
1760316891.5190125,74,nan,nan,nan,0
1760316891.6242478,75,nan,nan,nan,0
1760316891.728666,76,nan,nan,nan,0
1760316891.8337753,77,nan,nan,nan,0
1760316891.9373171,78,nan,nan,nan,0
1760316892.0420377,79,nan,nan,nan,0
1760316892.1457853,80,nan,nan,nan,0
1760316892.25219,81,nan,nan,nan,0
1760316892.355881,82,nan,nan,nan,0
1760316892.4602332,83,nan,nan,nan,0
1760316892.5573914,84,nan,nan,nan,0
1760316892.6524336,85,nan,nan,nan,0
1760316892.7638047,86,nan,nan,nan,0
1760316892.8604698,87,nan,nan,nan,0
1760316892.9573975,88,nan,nan,nan,0
1760316893.0548913,89,nan,nan,nan,0
1760316893.1515865,90,nan,nan,nan,0
1760316893.249145,91,nan,nan,nan,0
1760316893.3451788,92,nan,nan,nan,0
1760316893.4429002,93,nan,nan,nan,0
1760316893.5421922,94,nan,nan,nan,0
1760316893.6414802,95,nan,nan,nan,0
1760316893.737108,96,nan,nan,nan,0
1760316893.831433,97,nan,nan,nan,0
1760316893.9267817,98,nan,nan,nan,0
1760316894.0199313,99,nan,nan,nan,0
1760316894.1148012,100,nan,nan,nan,0
1760316894.2087193,101,nan,nan,nan,0
1760316894.3040793,102,nan,nan,nan,0
1760316894.3959997,103,nan,nan,nan,0
1760316894.4902337,104,nan,nan,nan,0
1760316894.584879,105,nan,nan,nan,0
1760316894.6790338,106,nan,nan,nan,0
1760316894.7734964,107,nan,nan,nan,0
1760316894.8677225,108,nan,nan,nan,0
1760316894.9630394,109,nan,nan,nan,0
1760316895.055501,110,nan,nan,nan,0
1760316895.151896,111,nan,nan,nan,0
1760316895.246679,112,nan,nan,nan,0
1760316895.3415892,113,nan,nan,nan,0
1760316895.4362478,114,nan,nan,nan,0
1760316895.5305016,115,nan,nan,nan,0
1760316895.6286433,116,nan,nan,nan,0
1760316895.723781,117,nan,nan,nan,0
1760316895.820548,118,nan,nan,nan,0
1760316895.91678,119,nan,nan,nan,0
1760316896.010882,120,nan,nan,nan,0
1760316896.1053689,121,nan,nan,nan,0
1760316896.2048638,122,nan,nan,nan,0
1760316896.303723,123,nan,nan,nan,0
1760316896.4025319,124,nan,nan,nan,0
1760316896.4984267,125,nan,nan,nan,0
1760316896.5947971,126,nan,nan,nan,0
1760316896.694541,127,nan,nan,nan,0
1760316896.7906673,128,nan,nan,nan,0
1760316896.887459,129,nan,nan,nan,0
1760316896.9827394,130,nan,nan,nan,0
1760316897.0807533,131,nan,nan,nan,0
1760316897.1786242,132,nan,nan,nan,0
1760316897.2764797,133,nan,nan,nan,0
